,Countryno,country,year,CO2_transport_capita,GDP_per_capita,gas_cons_capita,vehicles_capita,urban_pop,pop_density
63,2,Belgium,1977,1.5075748004294451,18214.3594171213,302.53221703624627,322.64766786805035,94.806,299.26873857403996
64,2,Belgium,1978,1.5468212214115018,18889.6595527448,315.3604632089284,332.88905294628063,95.005,299.512492382693
65,2,Belgium,1979,1.6358016981875803,19542.5887184122,317.2094664890131,345.55101368279344,95.196,299.7257769652649
66,2,Belgium,1980,1.6076286594851814,20262.2052655668,298.5016495182895,368.63715141363156,95.381,300.03046922608195
67,2,Belgium,1981,1.565070308476068,18990.1341313303,275.38340165343647,351.4398926963628,95.535,300.18281535649
68,2,Belgium,1982,1.583758129189007,18401.4500015241,270.4868143765467,353.998679891537,95.637,300.30469226081703
69,2,Belgium,1983,1.618382388752699,17862.9249534197,261.2748997516113,357.70419332063165,95.737,300.30469226081703
70,2,Belgium,1984,1.6214507174361354,17901.2810668614,262.69936842566676,361.7995398817316,95.835,300.21328458257193
71,2,Belgium,1985,1.6605283584160693,17741.8355187227,253.69465023815445,366.7867940539882,95.93,300.36563071297996
72,2,Belgium,1986,1.8100101776314585,18683.4485994807,275.81107468669836,371.0647494869762,96.023,300.48750761730696
73,2,Belgium,1987,1.8631777118961923,19444.1440230618,287.4298623517943,384.33704087199527,96.115,300.73126142596
74,2,Belgium,1988,2.007743344956969,20955.3244914384,296.31383169535945,395.3409759276103,96.204,301.70627666057294
75,2,Belgium,1989,2.042726800786943,22174.1502075456,289.50369487014945,408.70781462449804,96.292,302.803168799513
76,2,Belgium,1990,2.006545552245982,23044.8914109019,273.5924860487396,422.0320664586743,96.377,303.68677635588097
77,2,Belgium,1991,2.049080782361033,23491.9390406788,273.67722839534184,434.1785151380354,96.461,304.84460694698396
78,2,Belgium,1992,2.179159352197347,24233.7621192089,288.9949565750982,438.74492854084696,96.542,306.06337599024994
79,2,Belgium,1993,2.2172696149278965,24355.8971645373,281.5218442209436,446.5189709140522,96.622,307.28214503351603
80,2,Belgium,1994,2.248012303369359,25267.6176101506,280.6555377865264,459.45553062990786,96.7,308.22669104204795
81,2,Belgium,1995,2.2294980147109382,26120.0587547085,279.4764546759331,464.96773876905803,96.777,308.86654478976203
82,2,Belgium,1996,2.324588345532089,26172.5966638384,269.675877950546,472.83883668998845,96.851,309.47592931139496
83,2,Belgium,1997,2.325845218340193,27685.6357886652,248.98723093295564,481.1320373336638,96.924,310.207190737355
84,2,Belgium,1998,2.360088319052577,28587.6796746813,246.2019043795712,489.42050882637574,96.996,310.87751371115195
85,2,Belgium,1999,2.372286916857211,29682.3192116252,234.09954158928946,500.08665303013044,97.065,311.57830591102993
86,2,Belgium,2000,2.3714181197414947,31589.3844335182,218.99768320936474,510.48086165754745,97.128,312.370505789153
87,2,Belgium,2001,2.43910263576683,31735.7962491225,212.510098118226,516.9614093498608,97.184,313.4369287020109
88,2,Belgium,2002,2.4194832274164226,32457.0473545754,201.97845982472296,519.9616755821838,97.239,314.838513101767
89,2,Belgium,2003,2.4999679553066643,31523.1214697546,202.86941194759166,533.4391873479485,97.292,314.3935405240707
90,2,Belgium,2004,2.5448278820247734,31763.9643330839,185.3924384642482,546.7320233563054,97.345,315.04442413162707
91,2,Belgium,2005,2.4592940079783427,31678.7111483935,168.15196127504228,559.4894743535823,97.397,315.5444
92,3,Canada,1960,2.7997082362290397,11758.0418752576,657.0436141943978,292.4517783973028,69.061,1.94220369440525
93,3,Canada,1961,2.7639428602703737,11934.4537737086,659.6245416233376,300.8422619336053,69.668,2.0092351578213474
94,3,Canada,1962,2.8403352315461476,12445.8107005251,682.6582142473408,309.1797386760763,70.494,2.0469543663557856
95,3,Canada,1963,2.938726007171483,12820.8184647129,711.6642058637418,318.96505103082416,71.307,2.085443354656233
96,3,Canada,1964,3.0566623544631306,13459.0420509267,735.9379042690815,328.62051925079186,72.107,2.125141996874694
97,3,Canada,1965,3.175119422705559,14110.3285865656,765.7790425856286,337.4232635414848,72.892,2.1639608907891454
98,3,Canada,1966,3.316041500399043,14758.4593706042,796.1392657621708,346.40827724868734,73.642,2.204649249849618
99,3,Canada,1967,3.425436018028611,14920.3096577685,822.1634332745443,352.50873923684514,74.155,2.2446777976820833
100,3,Canada,1968,3.5456035480138834,15365.3551325354,863.6714230620902,364.8124642441288,74.662,2.2811873522985073
101,3,Canada,1969,3.638006467567054,15918.7883418477,884.6300171200304,376.05056286734464,75.161,2.3124184170908704
102,3,Canada,1970,3.779309697992872,16064.6635412909,920.8403676608517,379.7251840350599,75.654,2.3449691043392487
103,3,Canada,1971,3.8529886186689315,16637.7159104881,939.0851277180259,391.36578448375815,76.09,2.3803278382054893
104,3,Canada,1972,4.055719585365418,17407.3857470409,988.740785912067,408.4532082325752,75.971,2.4186074464095824
105,3,Canada,1973,4.348796356166422,18675.6500414576,1052.5535588603864,431.1207369325373,75.851,2.4599310937140886
106,3,Canada,1974,4.457258813492721,19529.3695009721,1072.1834864335067,459.7251197912608,75.731,2.5044330517039075
107,3,Canada,1975,4.455168253694688,19482.5471868104,1092.7657374294456,469.1745952411726,75.611,2.552259798471657
108,3,Canada,1976,4.596904498681861,20461.7663538191,1111.3615103325112,482.7084829381871,75.503,2.586240076714052
109,3,Canada,1977,4.605395864851236,20682.8470582943,1112.7500420238696,507.0084488186392,75.543,2.6168113302784075
110,3,Canada,1978,4.791562656015976,21055.0905441978,1132.4263604593111,522.8793612581457,75.583,2.643203779398714
111,3,Canada,1979,5.180623635539811,21896.233072767,1159.121802529143,533.3780814549032,75.623,2.669706197057022
112,3,Canada,1980,5.2006668564225595,22107.5701053631,1149.8800471678933,539.8466801592921,75.663,2.7044562550654256
113,3,Canada,1981,5.1,22437.1043804102,1098.9156626506024,540.3090640389966,75.712,2.738216596231818
114,3,Canada,1982,4.366716927227998,21376.656251885,999.5238473137053,551.1080870737383,75.874,2.771427094708204
115,3,Canada,1983,4.237900691389063,21977.0193869858,958.4773727215588,556.3794387629422,76.035,2.7993591033605285
